"Name","LastWriteTime","FullName"
"How we welcome the student.pptx.lnk","31-10-2025 04:52:28 PM","C:\Users\Dell\AppData\Roaming\Microsoft\Windows\Recent\How we welcome the student.pptx.lnk"
"http--qrstuff.com-.lnk","17-06-2025 12:00:06 PM","C:\Users\Dell\AppData\Roaming\Microsoft\Windows\Recent\http--qrstuff.com-.lnk"
"https--apply.kanan.co-walkin-head-office.lnk","09-10-2025 11:15:47 AM","C:\Users\Dell\AppData\Roaming\Microsoft\Windows\Recent\https--apply.kanan.co-walkin-head-office.lnk"
"https--blinkit.com-blog-recipe-roversrsltid=AfmBOorlPKGxXoU-_5Cmy1sh-maDeGQS4EmhoYl9I-UEwkfr_Jf1QnzJ.lnk","25-10-2025 04:49:52 PM","C:\Users\Dell\AppData\Roaming\Microsoft\Windows\Recent\https--blinkit.com-blog-recipe-roversrsltid=AfmBOorlPKGxXoU-_5Cmy1sh-maDeGQS4EmhoYl9I-UEwkfr_Jf1QnzJ.lnk"
"https--claude.ai-public-artifacts-68038b3f-7baa-4a02-a1d7-f89afe795a6f.lnk","10-10-2025 04:02:27 PM","C:\Users\Dell\AppData\Roaming\Microsoft\Windows\Recent\https--claude.ai-public-artifacts-68038b3f-7baa-4a02-a1d7-f89afe795a6f.lnk"
"https--crm.kanan.co-s-opportunity-006J3000004BSieIAG-ahzam-khan-coachingtabset-896f4=2.lnk","16-09-2025 11:39:26 AM","C:\Users\Dell\AppData\Roaming\Microsoft\Windows\Recent\https--crm.kanan.co-s-opportunity-006J3000004BSieIAG-ahzam-khan-coachingtabset-896f4=2.lnk"
"https--crm.kanan.co-s-opportunity-006J3000004BSieIAG-ahzam-khan-coachingtabset-896f4=86cb4.lnk","15-09-2025 07:53:39 PM","C:\Users\Dell\AppData\Roaming\Microsoft\Windows\Recent\https--crm.kanan.co-s-opportunity-006J3000004BSieIAG-ahzam-khan-coachingtabset-896f4=86cb4.lnk"
"https--docs.google.com-document-d-1EuWjIfX8qSJ5kijSEYJOMjiWGFzquHLQzwLGiIyFK1M-edittab=t.0.lnk","06-01-2025 06:32:15 PM","C:\Users\Dell\AppData\Roaming\Microsoft\Windows\Recent\https--docs.google.com-document-d-1EuWjIfX8qSJ5kijSEYJOMjiWGFzquHLQzwLGiIyFK1M-edittab=t.0.lnk"
"https--docs.google.com-document-d-1j6hVCvWlYT7qzPFjlXdNNJzvPpFD4-Ngij4Ap2bYLH4-editusp=drivesdk.lnk","22-07-2025 10:57:20 AM","C:\Users\Dell\AppData\Roaming\Microsoft\Windows\Recent\https--docs.google.com-document-d-1j6hVCvWlYT7qzPFjlXdNNJzvPpFD4-Ngij4Ap2bYLH4-editusp=drivesdk.lnk"
"https--docs.google.com-forms-d-1UCcTEmBFTNNSA-qjIvxc9iHvFX394Rerl4IoORg0_kU-edit.lnk","21-01-2025 06:37:07 PM","C:\Users\Dell\AppData\Roaming\Microsoft\Windows\Recent\https--docs.google.com-forms-d-1UCcTEmBFTNNSA-qjIvxc9iHvFX394Rerl4IoORg0_kU-edit.lnk"
"https--docs.google.com-forms-d-e-1FAIpQLSeYiNcTOKzo4wQ7p_3twvfmsB3BR8nnppw5wrpfIYqgBbdpag-viewformusp=preview.lnk","21-01-2025 06:41:41 PM","C:\Users\Dell\AppData\Roaming\Microsoft\Windows\Recent\https--docs.google.com-forms-d-e-1FAIpQLSeYiNcTOKzo4wQ7p_3twvfmsB3BR8nnppw5wrpfIYqgBbdpag-viewformusp=preview.lnk"
"https--docs.google.com-spreadsheets-d-1-Q4YEe6hihHKmwhLbljNPZsH6fJVqu24VUEDwklxlrQ-editgid=457977173.lnk","23-06-2025 03:34:32 PM","C:\Users\Dell\AppData\Roaming\Microsoft\Windows\Recent\https--docs.google.com-spreadsheets-d-1-Q4YEe6hihHKmwhLbljNPZsH6fJVqu24VUEDwklxlrQ-editgid=457977173.lnk"
"https--docs.google.com-spreadsheets-d-118HC7_toJPLGovy5W2URvhr9AoCyluqPLknCMnklBl4-editgid=1395347931.lnk","21-12-2024 01:34:14 PM","C:\Users\Dell\AppData\Roaming\Microsoft\Windows\Recent\https--docs.google.com-spreadsheets-d-118HC7_toJPLGovy5W2URvhr9AoCyluqPLknCMnklBl4-editgid=1395347931.lnk"
"https--docs.google.com-spreadsheets-d-12iTglKyj2ce1xYvt9uHRjwfEm8il69hTqaC5Y4BxYuI-editusp=sharing.lnk","17-01-2025 03:15:12 PM","C:\Users\Dell\AppData\Roaming\Microsoft\Windows\Recent\https--docs.google.com-spreadsheets-d-12iTglKyj2ce1xYvt9uHRjwfEm8il69hTqaC5Y4BxYuI-editusp=sharing.lnk"
